fsa,ra_code,ra_nom,strate_region
J0P,16,Montérégie,couronne
J0R,15,Laurentides,couronne
J0S,16,Montérégie,couronne
J0T,15,Laurentides,couronne
J0V,07,Outaouais,regions
J0W,15,Laurentides,couronne
J0X,07,Outaouais,regions
J0Y,10,Nord-du-Québec,regions
J0Z,08,Abitibi-Témiscamingue,regions
J1A,05,Estrie,regions
J1C,05,Estrie,regions
J1E,05,Estrie,regions
J1G,05,Estrie,regions
J1H,05,Estrie,regions
J1J,05,Estrie,regions
J1K,05,Estrie,regions
J1L,05,Estrie,regions
J1M,05,Estrie,regions
J1N,05,Estrie,regions
J1R,05,Estrie,regions
J1S,05,Estrie,regions
J1T,05,Estrie,regions
J1X,05,Estrie,regions
J1Z,17,Centre-du-Québec,regions
J2A,17,Centre-du-Québec,regions
J2B,17,Centre-du-Québec,regions
J2C,17,Centre-du-Québec,regions
J2E,17,Centre-du-Québec,regions
J2G,05,Estrie,regions
J2H,05,Estrie,regions
J2J,05,Estrie,regions
J2K,05,Estrie,regions
J2L,05,Estrie,regions
J2M,05,Estrie,regions
J2N,05,Estrie,regions
J2R,16,Montérégie,couronne
J2S,16,Montérégie,couronne
J2T,16,Montérégie,couronne
J2W,16,Montérégie,couronne
J2X,16,Montérégie,couronne
J2Y,16,Montérégie,couronne
J3A,16,Montérégie,couronne
J3B,16,Montérégie,couronne
J3E,16,Montérégie,couronne
J3G,16,Montérégie,couronne
J3H,16,Montérégie,couronne
J3L,16,Montérégie,couronne
J3M,16,Montérégie,couronne
J3N,16,Montérégie,couronne
J3P,16,Montérégie,couronne
J3R,16,Montérégie,couronne
J3T,17,Centre-du-Québec,regions
J3V,16,Montérégie,couronne
J3X,16,Montérégie,couronne
J3Y,16,Montérégie,couronne
J3Z,16,Montérégie,couronne
J4B,16,Montérégie,couronne
J4G,16,Montérégie,couronne
J4H,16,Montérégie,couronne
J4J,16,Montérégie,couronne
J4K,16,Montérégie,couronne
J4L,16,Montérégie,couronne
J4M,16,Montérégie,couronne
J4N,16,Montérégie,couronne
J4P,16,Montérégie,couronne
J4R,16,Montérégie,couronne
J4S,16,Montérégie,couronne
J4T,16,Montérégie,couronne
J4V,16,Montérégie,couronne
J4W,16,Montérégie,couronne
J4X,16,Montérégie,couronne
J4Y,16,Montérégie,couronne
J4Z,16,Montérégie,couronne
J5A,16,Montérégie,couronne
J5B,16,Montérégie,couronne
J5C,16,Montérégie,couronne
J5J,15,Laurentides,couronne
J5K,15,Laurentides,couronne
J5L,15,Laurentides,couronne
J5M,14,Lanaudière,couronne
J5R,16,Montérégie,couronne
J5T,14,Lanaudière,couronne
J5V,04,Mauricie,regions
J5W,14,Lanaudière,couronne
J5X,14,Lanaudière,couronne
J5Y,14,Lanaudière,couronne
J5Z,14,Lanaudière,couronne
J6A,14,Lanaudière,couronne
J6E,14,Lanaudière,couronne
J6J,16,Montérégie,couronne
J6K,16,Montérégie,couronne
J6N,16,Montérégie,couronne
J6R,16,Montérégie,couronne
J6S,16,Montérégie,couronne
J6T,16,Montérégie,couronne
J6V,14,Lanaudière,couronne
J6W,14,Lanaudière,couronne
J6X,14,Lanaudière,couronne
J6Y,14,Lanaudière,couronne
J6Z,15,Laurentides,couronne
J7A,15,Laurentides,couronne
J7B,15,Laurentides,couronne
J7C,15,Laurentides,couronne
J7E,15,Laurentides,couronne
J7G,15,Laurentides,couronne
J7H,15,Laurentides,couronne
J7J,15,Laurentides,couronne
