GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,PR_UID,C_UID,"v_CA21_1: Population, 2021",v_CA21_9: Total - Age,v_CA21_10: Total - Age,v_CA21_14: 0 to 4 years,v_CA21_32: 5 to 9 years,v_CA21_50: 10 to 14 years,v_CA21_71: 15 to 19 years,v_CA21_89: 20 to 24 years,v_CA21_107: 25 to 29 years,v_CA21_125: 30 to 34 years,v_CA21_143: 35 to 39 years,v_CA21_161: 40 to 44 years,v_CA21_179: 45 to 49 years,v_CA21_197: 50 to 54 years,v_CA21_215: 55 to 59 years,v_CA21_233: 60 to 64 years,v_CA21_254: 65 to 69 years,v_CA21_272: 70 to 74 years,v_CA21_290: 75 to 79 years,v_CA21_308: 80 to 84 years,v_CA21_329: 85 to 89 years,"v_CA21_930: $30,000 to $34,999","v_CA21_927: $15,000 to $19,999",strate_region
2426,CD,La Nouvelle-Beauce (MRC),905.3295,37988,16102,15465,24,,37988,19310,18675,2335,2630,2520,2005,1710,2085,2395,2570,2705,2280,2140,2625,2690,2405,1935,1325,825,490,460,190,regions
2427,CD,Robert-Cliche (MRC),839.5958,19253,8827,8225,24,,19253,9875,9380,960,1155,1270,1100,835,925,1020,1185,1325,1040,1095,1360,1455,1375,1215,820,530,360,280,155,regions
2428,CD,Les Etchemins (MRC),1809.61,16927,8791,7639,24,,16927,8725,8200,730,835,890,750,675,700,775,860,955,885,990,1375,1735,1520,1245,860,565,355,360,190,regions
2429,CD,Beauce-Sartigan (MRC),1952.7326,53384,25591,24136,24,,53384,27095,26290,2615,3220,3295,2800,2525,2685,2960,3290,3575,3070,3200,4090,4230,3750,3155,2260,1355,770,920,640,regions
2430,CD,Le Granit (MRC),2731.547,21948,12679,10254,24,,21948,11215,10735,880,1095,1290,1050,765,855,980,1060,1300,1145,1325,1930,2160,2065,1555,1115,615,435,435,275,regions
2431,CD,Les Appalaches (MRC),1911.8255,43412,23036,20221,24,,43412,21650,21755,1825,2090,2220,1835,1700,1930,1995,2190,2505,2150,2315,3290,3880,3875,3470,2520,1655,1170,1005,515,regions
2432,CD,L'Érable (MRC),1287.0317,23534,11839,10693,24,,23534,12055,11475,1220,1325,1390,1155,1060,1300,1315,1350,1400,1295,1335,1860,1905,1800,1545,1085,650,355,510,240,regions
2433,CD,Lotbinière (MRC),1662.2561,34586,15843,14741,24,,34586,17790,16800,2295,2225,2035,1530,1465,2220,2460,2260,2140,1845,1905,2525,2625,2255,1890,1300,815,515,485,200,regions
2434,CD,Portneuf (MRC),3887.8803,55523,27753,24809,24,,55523,28150,27375,2940,3335,3165,2235,2020,2870,3365,3520,3540,3010,3195,4420,4845,4345,3525,2350,1490,825,840,430,regions
2435,CD,Mékinac (MRC),5186.2187,12762,8723,6502,24,,12762,6475,6290,400,505,570,470,385,460,430,525,665,620,725,1170,1505,1430,1065,825,505,335,340,200,regions
2436,CD,Shawinigan (TÉ),729.9827,49620,27444,25060,24,,49620,24165,25450,1990,2215,2085,1880,1950,2285,2415,2555,2670,2380,2680,4045,5125,4700,3820,2790,1860,1260,1315,970,regions
2437,CD,Francheville (CDR),1160.6678,158343,79701,75423,24,,158343,77330,81015,7115,7720,8020,7310,8735,9395,8740,9185,9400,8055,8645,11725,13130,12220,10575,7870,5090,3190,3485,2240,regions
2438,CD,Bécancour (MRC),1143.1269,20748,10148,9391,24,,20748,10655,10090,950,1205,1145,930,840,1110,1180,1235,1305,1065,1265,1605,1820,1690,1325,970,570,360,395,200,regions
2439,CD,Arthabaska (MRC),1887.088,74348,35556,33166,24,,74348,36990,37360,3705,4220,4420,3775,3420,3705,3925,4425,4750,4160,4180,5440,5745,5590,4740,3510,2285,1475,1470,840,regions
2440,CD,Les Sources (MRC),785.4182,14623,7363,6809,24,,14623,7440,7180,660,760,850,675,510,635,615,765,850,730,800,1025,1305,1335,1215,810,490,325,330,215,regions
2441,CD,Le Haut-Saint-François (MRC),2269.6818,22926,11237,9880,24,,22926,11850,11070,1270,1420,1375,1130,915,1055,1290,1350,1480,1240,1395,1835,1975,1770,1430,915,545,330,430,230,regions
2442,CD,Le Val-Saint-François (MRC),1401.5591,31551,14813,13635,24,,31551,16220,15330,1695,1975,1910,1500,1195,1640,1805,1925,2060,1810,1900,2500,2630,2320,1935,1265,695,490,480,280,regions
2443,CD,Sherbrooke (TÉ),353.3966,172950,86019,80476,24,,172950,84805,88145,8150,9375,9705,9260,13505,12755,10950,10520,10880,9365,9370,10895,11300,10700,9415,7030,4560,3025,3640,2635,regions
2444,CD,Coaticook (MRC),1338.8627,18906,8913,8070,24,,18906,9595,9310,1130,1140,1205,1010,860,995,1070,1100,1105,995,1070,1420,1545,1260,1115,795,515,325,360,180,regions
2445,CD,Memphrémagog (MRC),1317.4186,54797,31920,25600,24,,54797,27055,27745,2050,2465,2755,2325,1865,1895,2340,2715,2995,2940,3460,4980,5610,5120,4480,3235,1670,1200,960,535,regions
